"消費日期","消費品項","單價","個數","小計","店家名稱"
"1141201","外送費","55.0","1.0","55.0","優食台灣股份有限公司"
"1141201","服務費和其他費用","40.0","1.0","40.0","優食台灣股份有限公司"
"1141201","送餐優惠","-55.0","1.0","-55.0","優食台灣股份有限公司"
"1141201","服務費優惠","-27.0","1.0","-27.0","優食台灣股份有限公司"
"1141201","★阜杭豆漿-經典飯糰","45.0","1.0","45.0","統一超商股份有限公司台北市第四三一分公司"
"1141202","餐費","832.0","1.0","832.0","芝生鼓亭股份有限公司"
"1141202","威德ｉｎ運動補給飲料","35.0","1.0","35.0","全家便利商店股份有限公司台北市第七三二分公司"
"1141203","停車費","45.0","1.0","45.0","歐特儀股份有限公司永和國小地下停車場"
"1141204","雞腿飯","140.0","1.0","140.0","岳香小吃店"
"1141204","麻油雞飯糰","49.0","1.0","49.0","統一超商股份有限公司台北市第四三一分公司"
"1141204","LINE POINT","-18.0","1.0","-18.0","統一超商股份有限公司台北市第四三一分公司"
"1141205","雞腿飯","140.0","1.0","140.0","岳香小吃店"
"1141205","電信費","449.0","1.0","449.0","台灣大哥大股份有限公司"
"1141205","外送費","10.0","1.0","10.0","優食台灣股份有限公司"
"1141205","服務費和其他費用","23.0","1.0","23.0","優食台灣股份有限公司"
"1141205","送餐優惠","-10.0","1.0","-10.0","優食台灣股份有限公司"
"1141205","服務費優惠","-15.0","1.0","-15.0","優食台灣股份有限公司"
"1141206","外送費","10.0","1.0","10.0","優食台灣股份有限公司"
"1141206","服務費和其他費用","55.0","1.0","55.0","優食台灣股份有限公司"
"1141206","送餐優惠","-10.0","1.0","-10.0","優食台灣股份有限公司"
"1141206","服務費優惠","-43.0","1.0","-43.0","優食台灣股份有限公司"
"1141207","其他","130.0","1.0","130.0","小南門餐飲有限公司東門營業所"
"1141207","蕃茄吉士蛋堡","45.0","1.0","45.0","安心食品服務股份有限公司忠孝第二分公司"
"1141207","蕃茄吉士蛋堡","45.0","1.0","45.0","安心食品服務股份有限公司忠孝第二分公司"
"1141207","海洋珍珠堡-早","80.0","1.0","80.0","安心食品服務股份有限公司忠孝第二分公司"
"1141207","辣味和風雞腿塊(附摩","70.0","1.0","70.0","安心食品服務股份有限公司忠孝第二分公司"
"1141207","全聯奈赫曼印花","0.0","6.0","0.0","全聯實業股份有限公司大安新生南分公司"
"1141207","無調味核桃仁","109.0","1.0","109.0","全聯實業股份有限公司大安新生南分公司"
"1141207","無調味夏威夷豆","109.0","1.0","109.0","全聯實業股份有限公司大安新生南分公司"
"1141207","富翁紅殼鮮雞蛋","84.0","2.0","168.0","全聯實業股份有限公司大安新生南分公司"
"1141207","台酒海鹽荔枝酒","84.0","1.0","84.0","全聯實業股份有限公司大安新生南分公司"
"1141207","馬修嚴選優格","156.0","1.0","156.0","全聯實業股份有限公司大安新生南分公司"
"1141207","艾德懷斯白啤酒","73.0","1.0","73.0","全聯實業股份有限公司大安新生南分公司"
"1141207","折讓","-18.0","1.0","-18.0","全聯實業股份有限公司大安新生南分公司"
"1141208","停車費","45.0","1.0","45.0","歐特儀股份有限公司永和國小地下停車場"
"1141209","Google Play 應用程式","657.0","1.0","657.0","Google Asia Pacific Pte Ltd"
"1141210","餐飲-香茅廚","2776.0","1.0","2776.0","微風廣場實業股份有限公司"
"1141210","BOOKS KinoKuniya紀伊國屋","221.0","1.0","221.0","微風廣場實業股份有限公司"
"1141210","YouTube","190.0","1.0","190.0","Google Asia Pacific Pte Ltd"
"1141210","UNIQLO","590.0","1.0","590.0","微風廣場實業股份有限公司"
"1141211","外送費","10.0","1.0","10.0","優食台灣股份有限公司"
"1141211","服務費和其他費用","48.0","1.0","48.0","優食台灣股份有限公司"
"1141211","送餐優惠","-10.0","1.0","-10.0","優食台灣股份有限公司"
"1141211","服務費優惠","-29.0","1.0","-29.0","優食台灣股份有限公司"
"1141211","麻油雞飯糰","52.0","1.0","52.0","全家便利商店股份有限公司台北市第七三二分公司"
"1141212","餐費","964.0","1.0","964.0","芝生鼓亭股份有限公司"
"1141212","外送費","55.0","1.0","55.0","優食台灣股份有限公司"
