"消費日期","消費品項","單價","個數","小計","店家名稱"
"1150101","黑糖鹽之花冰淇淋烤布丁","160.0","1.0","160.0","威思創意股份有限公司"
"1150101","限定·辛辛魚貝酒香玉子熟成魚介烏骨雞白拉麵","360.0","1.0","360.0","威思創意股份有限公司"
"1150101","雙倍叉燒·酒香糖心玉子·烏骨雞白拉麵","340.0","1.0","340.0","威思創意股份有限公司"
"1150101","(A)*瑞穗全脂鮮乳230ml","27.0","1.0","27.0","統一超商股份有限公司台北市第五五八分公司"
"1150102","電費","2280.0","1.0","2280.0","台灣電力股份有限公司台北市區營業處"
"1150102","雞腿飯","140.0","1.0","140.0","岳香小吃店"
"1150103","迷你Vespa電動玩具車靠背款-白","2480.0","1.0","2480.0","台灣卡多摩嬰童館股份有限公司台北民權分公司"
"1150103","招牌炸醬麵_中_","100.0","1.0","100.0","永嘉小吃店"
"1150103","_番茄_珍熬豚骨湯麵_中_","160.0","1.0","160.0","永嘉小吃店"
"1150103","珍熬餛飩湯","65.0","1.0","65.0","永嘉小吃店"
"1150103","燙青菜","45.0","1.0","45.0","永嘉小吃店"
"1150103","日式香嫩豆皮","45.0","1.0","45.0","永嘉小吃店"
"1150103","柚香蓮藕大根","50.0","1.0","50.0","永嘉小吃店"
"1150103","拿鐵","180.0","1.0","180.0","不在辦公室股份有限公司"
"1150103","蘭姆葡萄捲","120.0","1.0","120.0","不在辦公室股份有限公司"
"1150103","肯亞 穆拉雅產區 蓋達處理廠 AA 水洗","250.0","1.0","250.0","不在辦公室股份有限公司"
"1150103","統一多拿滋甜甜圈","65.0","1.0","65.0","大葉高島屋百貨股份有限公司"
"1150103","興蓬萊-餐費","2046.0","1.0","2046.0","大葉高島屋百貨股份有限公司"
"1150103","CHOYA氣泡梅酒350","89.0","1.0","89.0","家福股份有限公司台北濟南分公司"
"1150103","可倫堡白啤酒Can","95.0","1.0","95.0","家福股份有限公司台北濟南分公司"
"1150103","家樂福爽暢飲氣泡水","19.0","1.0","17.0","家福股份有限公司台北濟南分公司"
"1150103","家福海鹽花生","79.0","1.0","75.0","家福股份有限公司台北濟南分公司"
"1150103","木內氣泡梅酒","74.0","1.0","74.0","家福股份有限公司台北濟南分公司"
"1150103","艾丁格小麥白啤500m","77.0","1.0","75.0","家福股份有限公司台北濟南分公司"
"1150104","和風炸雞(大)","85.0","1.0","85.0","安心食品服務股份有限公司新生南路分公司"
"1150104","玉米濃湯","55.0","1.0","55.0","安心食品服務股份有限公司新生南路分公司"
"1150104","i_綠璽平飼紅殼蛋","125.0","1.0","119.0","家福股份有限公司台北濟南分公司"
"1150104","電信費","456.0","1.0","456.0","台灣大哥大股份有限公司"
"1150104","Ｃｈｅｅｒｓ強氣泡水","29.0","1.0","29.0","全家便利商店股份有限公司濟南二分公司"
"1150104","威德ｉｎ運動補給飲料","35.0","1.0","35.0","全家便利商店股份有限公司濟南二分公司"
"1150105","森永in果凍（綜合礦物質）","42.0","1.0","42.0","統一超商股份有限公司台北市第四三一分公司"
"1150106","蛤蜊燉雞腿湯","260.0","2.0","520.0","雙月生物科技股份有限公司"
"1150106","外送費","20.0","1.0","20.0","優食台灣股份有限公司"
"1150106","服務費和其他費用","42.0","1.0","42.0","優食台灣股份有限公司"
"1150106","服務費優惠","-26.0","1.0","-26.0","優食台灣股份有限公司"
"1150106","送餐優惠","-20.0","1.0","-20.0","優食台灣股份有限公司"
"1150106","美式冰咖啡(中)","35.0","1.0","35.0","統一超商股份有限公司台北市第四三一分公司"
"1150107","壽司40元(藍）","40.0","3.0","120.0","台灣善商股份有限公司南京復興門市"
"1150107","壽司60元(紅)","60.0","2.0","120.0","台灣善商股份有限公司南京復興門市"
"1150107","壽司80元(銀)","80.0","1.0","80.0","台灣善商股份有限公司南京復興門市"
"1150107","副餐40","40.0","2.0","80.0","台灣善商股份有限公司南京復興門市"
"1150107","副餐60","60.0","3.0","180.0","台灣善商股份有限公司南京復興門市"
"1150107","副餐80","80.0","2.0","160.0","台灣善商股份有限公司南京復興門市"
"1150107","副餐100","100.0","1.0","100.0","台灣善商股份有限公司南京復興門市"
"1150107","副餐120","120.0","3.0","360.0","台灣善商股份有限公司南京復興門市"
"1150108","餐費","964.0","1.0","964.0","芝生鼓亭股份有限公司"
"1150108","雙蛋嫩雞飯","130.0","1.0","130.0","瑞哥小吃店"
"1150109","停車費","30.0","1.0","30.0","歐特儀股份有限公司永和國小地下停車場"
"1150109","Google Play 應用程式","657.0","1.0","657.0","Google Asia Pacific Pte Ltd"
"1150109","行動電話預付卡e儲值費用","888.0","1.0","888.0","中華電信股份有限公司個人家庭分公司"
"1150110","丸龜製麵-餐飲-餐飲","480.0","1.0","480.0","三創數位股份有限公司"
"1150110","平台費 2026-01-10 kqm1-2602-8306","6.0","1.0","6.0","富胖達股份有限公司"
"1150110","關西燒仙草3號(熱)","90.0","1.0","90.0","冰霖股份有限公司"
"1150110","紅豆湯小湯圓(熱)","95.0","2.0","190.0","冰霖股份有限公司"
"1150110","YouTube","190.0","1.0","190.0","Google Asia Pacific Pte Ltd"
"1150111","Uber 處理費","4.0","1.0","4.0","優步福爾摩沙股份有限公司"
"1150111","全聯奈赫曼印花","0.0","3.0","0.0","全聯實業股份有限公司大安民榮分公司"
"1150111","小農鮮奶吐司","65.0","1.0","65.0","全聯實業股份有限公司大安民榮分公司"
"1150111","嚴選鮮凍鳳尾蝦","359.0","1.0","359.0","全聯實業股份有限公司大安民榮分公司"
"1150111","台農農選白玉","58.0","1.0","58.0","全聯實業股份有限公司大安民榮分公司"
"1150111","鮮乳坊豐樂鮮乳","99.0","1.0","99.0","全聯實業股份有限公司大安民榮分公司"
"1150111","大漢家常豆腐","14.0","1.0","14.0","全聯實業股份有限公司大安民榮分公司"
"1150111","中華超嫩豆腐","15.0","1.0","15.0","全聯實業股份有限公司大安民榮分公司"
"1150111","大武山履歷蛋","89.0","1.0","89.0","全聯實業股份有限公司大安民榮分公司"
"1150114","水費","442.0","1.0","442.0","臺北自來水事業處"
"1150115","餐費","964.0","1.0","964.0","芝生鼓亭股份有限公司"
"1150116","酸辣湯","35.0","1.0","35.0","零七小吃店"
"1150116","雙蛋嫩雞飯","130.0","1.0","130.0","瑞哥小吃店"
"1150117","停車費","15.0","1.0","15.0","聯永物業股份有限公司台北十八站"
"1150117","水刀洗車","230.0","1.0","230.0","財團法人陽光社會福利基金會陽光汽車美容中心和平店"
"1150117","時間","0.0","1.0","0.0","蔦燒國際餐飲股份有限公司石牌店"
"1150117","塩燒雞腿肉","160.0","1.0","160.0","蔦燒國際餐飲股份有限公司石牌店"
"1150117","蒜香烤豆皮","100.0","1.0","100.0","蔦燒國際餐飲股份有限公司石牌店"
"1150117","日式蛤蠣湯","160.0","1.0","160.0","蔦燒國際餐飲股份有限公司石牌店"
