"消費日期","消費品項","單價","個數","小計","店家名稱"
"1150117","塩烤厚切牛舌","280.0","1.0","280.0","蔦燒國際餐飲股份有限公司石牌店"
"1150117","松露玉米","160.0","1.0","160.0","蔦燒國際餐飲股份有限公司石牌店"
"1150117","山藥細麵","120.0","1.0","120.0","蔦燒國際餐飲股份有限公司石牌店"
"1150117","草莓氣泡飲","120.0","1.0","120.0","蔦燒國際餐飲股份有限公司石牌店"
"1150117","塩燒小黑豬","150.0","1.0","150.0","蔦燒國際餐飲股份有限公司石牌店"
"1150117","服務費","281.0","1.0","281.0","蔦燒國際餐飲股份有限公司石牌店"
"1150117","明太子雞腿肉","180.0","1.0","180.0","蔦燒國際餐飲股份有限公司石牌店"
"1150117","蔥花雞腿肉","180.0","1.0","180.0","蔦燒國際餐飲股份有限公司石牌店"
"1150117","蒜醬牛肋(榖飼)","170.0","1.0","170.0","蔦燒國際餐飲股份有限公司石牌店"
"1150117","塩燒雞心","90.0","1.0","90.0","蔦燒國際餐飲股份有限公司石牌店"
"1150117","日本酒煮蛤蠣","250.0","1.0","250.0","蔦燒國際餐飲股份有限公司石牌店"
"1150117","午仔魚一夜干","320.0","1.0","320.0","蔦燒國際餐飲股份有限公司石牌店"
"1150117","厚切明太子山藥","210.0","1.0","210.0","蔦燒國際餐飲股份有限公司石牌店"
"1150117","蒜香炒水蓮","160.0","1.0","160.0","蔦燒國際餐飲股份有限公司石牌店"
"1150117","停車費","105.0","1.0","105.0","助安企業股份有限公司石牌二停車場"
"1150117","起司牛肉可頌","100.0","1.0","100.0","悠旅生活事業股份有限公司台北市第六十四分公司"
"1150118","味覺糖 酷露露Q糖(荔枝味)","49.0","1.0","49.0","台灣泛亞零售管理顧問股份有限公司忠孝新生分公司"
"1150118","玉米棒 BBQ美式炭烤風味30本","118.0","1.0","118.0","台灣泛亞零售管理顧問股份有限公司忠孝新生分公司"
"1150119","服飾","3125.0","1.0","3125.0","育米立有限公司"
"1150119","酸辣湯","35.0","1.0","35.0","零七小吃店"
"1150119","雙蛋嫩雞飯","130.0","1.0","130.0","瑞哥小吃店"
"1150120","元盅牛肉麵-放一起","250.0","1.0","250.0","圓荷有限公司"
"1150120","排骨蛋炒飯","220.0","1.0","220.0","圓荷有限公司"
"1150120","紅油蝦仁抄手(8入)","185.0","1.0","185.0","圓荷有限公司"
"1150120","炒菠菜-加辣椒","110.0","1.0","110.0","圓荷有限公司"
"1150120","番茄豆腐蛋花湯","145.0","1.0","145.0","圓荷有限公司"
"1150120","牛油花干(熱)","65.0","1.0","65.0","圓荷有限公司"
"1150121","i_鮮乳坊許慶良鮮","120.0","1.0","105.0","家福股份有限公司台北濟南分公司"
"1150121","可樂果原味","19.0","1.0","15.0","家福股份有限公司台北濟南分公司"
"1150121","Subscription 3rd Party In-Apps","90.0","1.0","90.0","Apple Distribution International"
"1150122","1 seat × ChatGPT Plus Subscription (at $20.00 / month)","21.0","1.0","21.0","OpenAI OpCo, LLC"
"1150123","招牌水餃","7.0","12.0","84.0","零七小吃店"
"1150123","酸辣湯","35.0","1.0","35.0","零七小吃店"
"1150123","燙青菜","35.0","1.0","35.0","零七小吃店"
"1150123","超值A餐(鮮蝦+時令鮮魚+九孔鮑）","180.0","1.0","180.0","享鋮有限公司"
"1150123","13.鐵板蝦仁套餐-全辣,小辣","260.0","1.0","260.0","享鋮有限公司"
"1150123","18.蔥爆牛肉片套餐-全辣,小辣","230.0","1.0","230.0","享鋮有限公司"
"1150123","划算C餐(鮮煎魚排+蔥蛋）","80.0","1.0","80.0","享鋮有限公司"
"1150123","服務費","75.0","1.0","75.0","享鋮有限公司"
"1150124","(A)*PH9.0鹼性離子水PET800","28.0","1.0","28.0","統一超商股份有限公司台北市第四０八分公司"
"1150124","三合院餐飲","4054.0","1.0","4054.0","豐東興業股份有限公司"
"1150124","米香-麻油雞雙菇飯糰","59.0","1.0","59.0","統一超商股份有限公司台北市第四０八分公司"
"1150124","阜杭豆漿-里肌肉蛋紫米飯糰","59.0","1.0","59.0","統一超商股份有限公司台北市第四０八分公司"
"1150124","魚卵龍蝦風味沙拉飯糰","39.0","1.0","39.0","統一超商股份有限公司台北市第四０八分公司"
"1150124","LINE POINT","-111.0","1.0","-111.0","統一超商股份有限公司台北市第四０八分公司"
"1150124","應稅停車場收入","30.0","1.0","30.0","豐東興業股份有限公司"
"1150124","6.順化牛肉","239.0","1.0","239.0","遠東百貨股份有限公司板橋新站分公司"
"1150125","香香雞-XL(FP)","200.0","1.0","200.0","香繼光股份有限公司繼光香香雞台北忠孝分公司"
"1150125","和風炸雞(大)","85.0","1.0","85.0","安心食品服務股份有限公司忠孝第二分公司"
"1150125","寶礦力水得","29.0","1.0","29.0","全家便利商店股份有限公司台北市第六六六分公司"
"1150125","蜂蜜檸檬蒟蒻","40.0","1.0","40.0","安心食品服務股份有限公司新生南路分公司"
"1150125","蜂蜜檸檬蒟蒻","40.0","1.0","40.0","安心食品服務股份有限公司新生南路分公司"
"1150125","摩斯雞塊(6個)(附","65.0","1.0","65.0","安心食品服務股份有限公司新生南路分公司"
"1150125","辣味和風雞腿塊(附摩","70.0","1.0","70.0","安心食品服務股份有限公司新生南路分公司"
"1150125","方塊薯餅","35.0","1.0","35.0","安心食品服務股份有限公司新生南路分公司"
"1150125","哈密瓜蘇打","75.0","1.0","75.0","安心食品服務股份有限公司新生南路分公司"
"1150125","芭樂檸檬蒟蒻","45.0","1.0","45.0","安心食品服務股份有限公司新生南路分公司"
"1150126","酸辣湯","35.0","1.0","35.0","零七小吃店"
"1150126","雙蛋嫩雞飯","130.0","1.0","130.0","瑞哥小吃店"
"1150126","泰山強氣泡水PET500","29.0","1.0","29.0","統一超商股份有限公司台北市第四三一分公司"
"1150126","森永in果凍(益生菌)","42.0","1.0","42.0","統一超商股份有限公司台北市第四三一分公司"
"1150127","停車場收入","90.0","1.0","90.0","台灣普客二四股份有限公司敬業樂群停車場"
"1150127","泰式打拋雞","120.0","1.0","120.0","柏瑞小吃店"
"1150128","韓式辣味水餃","7.0","10.0","70.0","零七小吃店"
"1150128","酸辣湯","35.0","1.0","35.0","零七小吃店"
"1150128","燙青菜","35.0","1.0","35.0","零七小吃店"
"1150129","Uber One 訂閱費","120.0","1.0","120.0","優食台灣股份有限公司"
"1150129","電信費","468.0","1.0","468.0","台灣大哥大股份有限公司"
"1150129","餐飲費","308.0","1.0","308.0","京饌餐旅事業股份有限公司古亭營業所"
"1150130","米香-麻油雞雙菇飯糰","59.0","1.0","59.0","統一超商股份有限公司台北市第九八二分公司"
"1150131","Red Melodia","525.0","1.0","525.0","吐司利亞國際餐飲股份有限公司"
"1150131","O-Greek","470.0","1.0","470.0","吐司利亞國際餐飲股份有限公司"
"1150131","Shak-Lamb","465.0","1.0","465.0","吐司利亞國際餐飲股份有限公司"
"1150131","Salad Balagan","415.0","1.0","415.0","吐司利亞國際餐飲股份有限公司"
"1150131","Berry Yogurt","305.0","1.0","305.0","吐司利亞國際餐飲股份有限公司"
"1150131","服務費","218.0","1.0","218.0","吐司利亞國際餐飲股份有限公司"
"1150131","頂級角尖牛排(A)","1980.0","2.0","3960.0","亞里士餐廳有限公司"
"1150131","特製可可(單)","280.0","1.0","280.0","亞里士餐廳有限公司"
"1150131","服務費10%","424.0","1.0","424.0","亞里士餐廳有限公司"
"1150131","帳單折扣","-396.0","1.0","-396.0","亞里士餐廳有限公司"
